Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.829            1           1         374       1512 main 
 45.2        0.683        0.683         374           0          2 std::ceil(float) 
  3.0        0.042        0.045           1           1         45 global constructors keyed to num_primes 
  0.2        0.003        0.003           1           0          3 __static_initialization_and_destruction_0(int, int) 

NODE 0;CONTEXT 0;THREAD 1:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.5        0.134        0.459           5          20         92 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_create_node(void* const&) 
  0.5        0.103         0.45          15          30         30 std::_Vector_base<void*, std::allocator<void*> >::_Vector_base(unsigned int, std::allocator<void*> const&) 
  0.4        0.101        0.383          15          30         26 std::_Vector_base<void*, std::allocator<void*> >::~_Vector_base() 
  0.4        0.189        0.374          25          25         15 std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int) 
  0.4        0.102         0.37          15          30         25 std::_Vector_base<int, std::allocator<int> >::~_Vector_base() 
  0.4         0.07        0.355           5           5         71 std::set<int, std::less<int>, std::allocator<int> >::set() 
  0.4        0.131        0.342          30          30         11 std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) 
  0.4        0.132        0.337          30          30         11 std::_Niter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >) 
  0.3        0.141        0.319          15          30         21 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, false>::_Rb_tree_impl(std::less<int> const&, std::allocator<std::_Rb_tree_node<int> > const&) 
  0.3        0.114        0.292          25          25         12 std::_Vector_base<void*, std::allocator<void*> >::_M_allocate(unsigned int) 
  0.3        0.124        0.291          25          25         12 void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) 
  0.3        0.072        0.285           5           5         57 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree() 
  0.3        0.112         0.28          25          25         11 void std::_Destroy<void**, void*>(void**, void**, std::allocator<void*>&) 
  0.3        0.181        0.269          40          40          7 std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*) 
  0.3        0.174        0.262          20          40         13 std::vector<int, std::allocator<int> >::max_size() const 
  0.3        0.177        0.259          40          40          6 std::_Miter_base<void**>::iterator_type std::__miter_base<void**>(void**) 
  0.3         0.25         0.25         115           0          2 std::_Iter_base<int*, false>::_S_base(int*) 
  0.3        0.163        0.245          17          34         14 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_key(std::_Rb_tree_node_base const*) 
  0.3        0.108        0.243          15          15         16 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, false>::~_Rb_tree_impl() 
  0.3         0.24         0.24         115           0          2 std::_Iter_base<void**, false>::_S_base(void**) 
  0.3         0.14        0.235          30          30          8 std::_Miter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >) 
  0.2        0.139        0.224          20          40         11 std::vector<void*, std::allocator<void*> >::max_size() const 
  0.2        0.116        0.213           5          10         43 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, false>::_Rb_tree_impl() 
  0.2        0.146        0.211          30          30          7 std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) 
  0.2        0.142        0.207          30          30          7 std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) 
  0.2        0.139        0.205          30          30          7 std::_Iter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >, true>::_S_base(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >) 
  0.2        0.135        0.202          28          28          7 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end() 
  0.2        0.111        0.195           5          10         39 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::get_allocator() const 
  0.2        0.194        0.194          15           0         13 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator() const 
  0.2        0.128        0.185          25          25          7 __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*) 
  0.2        0.139        0.185          25          20          7 std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int) 
  0.2        0.141         0.18           8          16         22 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_key(std::_Rb_tree_node<void*> const*) 
  0.2         0.09         0.18           5           5         36 std::map<void*, _data_access_log, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::end() 
  0.2        0.095        0.179          11          11         16 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end() 
  0.2        0.122        0.178          25          25          7 __gnu_cxx::new_allocator<void*>::allocate(unsigned int, void const*) 
  0.2        0.069        0.174          15          15         12 std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) 
  0.2        0.071        0.174          15          15         12 std::_Vector_base<void*, std::allocator<void*> >::_Vector_impl::~_Vector_impl() 
  0.2         0.07        0.171          15          15         11 std::_Vector_base<void*, std::allocator<void*> >::_Vector_impl::_Vector_impl(std::allocator<void*> const&) 
  0.2        0.072         0.17          15          15         11 std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() 
  0.2        0.112        0.168          25          25          7 void std::_Destroy<void**>(void**, void**) 
  0.2         0.11        0.167          25          25          7 void std::_Destroy<int*>(int*, int*) 
  0.2        0.121        0.156          15          15         10 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::end() 
  0.2        0.104        0.154          25          20          6 std::_Vector_base<void*, std::allocator<void*> >::_M_deallocate(void**, unsigned int) 
  0.2        0.105         0.15          10          20         15 __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) 
  0.2        0.098        0.144          20          20          7 int* std::__copy_move_a<false, int*, int*>(int*, int*, int*) 
  0.2        0.106        0.141          15          15          9 std::allocator<std::_Rb_tree_node<int> >::allocator(std::allocator<std::_Rb_tree_node<int> > const&) 
  0.1        0.093        0.138          20          20          7 std::allocator<void*>::~allocator() 
  0.1        0.137        0.137          62           0          2 std::_Select1st<std::pair<void* const, _data_access_log> >::operator()(std::pair<void* const, _data_access_log> const&) const 
  0.1        0.067        0.136           5           5         27 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_get_node() 
  0.1         0.09        0.136          20          20          7 void** std::__copy_move_a<false, void**, void**>(void**, void**, void**) 
  0.1        0.059        0.135           5           5         27 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_get_node() 
  0.1        0.081        0.135          12          24         11 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_key(std::_Rb_tree_node_base const*) 
  0.1        0.104        0.135          15          15          9 std::allocator<std::_Rb_tree_node<int> >::~allocator() 
  0.1        0.131        0.131          60           0          2 std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() 
  0.1        0.094         0.13           8          16         16 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_key(std::_Rb_tree_node_base const*) 
  0.1         0.13         0.13          56           0          2 std::less<void*>::operator()(void* const&, void* const&) const 
  0.1        0.127        0.127          60           0          2 std::_Vector_base<void*, std::allocator<void*> >::_M_get_Tp_allocator() 
  0.1        0.079        0.122           5          10         24 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::get_allocator() const 
  0.1        0.121        0.121          55           0          2 std::vector<int, std::allocator<int> >::size() const 
  0.1         0.12         0.12          55           0          2 std::vector<void*, std::allocator<void*> >::size() const 
  0.1        0.092        0.115          10          10         12 std::vector<int, std::allocator<int> >::end() 
  0.1        0.114        0.114          48           0          2 std::_Select1st<std::pair<unsigned long const, int> >::operator()(std::pair<unsigned long const, int> const&) const 
  0.1        0.027        0.114           5           5         23 std::vector<void*, std::allocator<void*> >::vector() 
  0.1        0.113        0.113          48           0          2 std::less<unsigned long>::operator()(unsigned long const&, unsigned long const&) const 
