Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00     1810     0.00     0.00  int* std::__uninitialized_copy<true>::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      0.01     0.00     1810     0.00     0.00  int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      0.01     0.00     1810     0.00     0.00  int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.01     0.00     1810     0.00     0.00  int* std::__uninitialized_move_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.01     0.00     1809     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.01     0.00     1809     0.00     0.00  int* std::__copy_move_a<false, int*, int*>(int*, int*, int*)
  0.00      0.01     0.00     1809     0.00     0.00  int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*)
  0.00      0.01     0.00     1809     0.00     0.00  void** std::uninitialized_copy<void**, void**>(void**, void**, void**)
  0.00      0.01     0.00     1809     0.00     0.00  int* std::copy<int*, int*>(int*, int*, int*)
  0.00      0.01     0.00     1797     0.00     0.00  std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end()
  0.00      0.01     0.00     1794     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::empty() const
  0.00      0.01     0.00     1792     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.01     0.00     1785     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.01     0.00     1775     0.00     0.00  std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::empty() const
  0.00      0.01     0.00     1770     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<void*> >::~new_allocator()
  0.00      0.01     0.00     1769     0.00     0.00  std::allocator<std::_Rb_tree_node<void*> >::~allocator()
  0.00      0.01     0.00     1766     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_erase(std::_Rb_tree_node<void*>*)
  0.00      0.01     0.00     1765     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::~_Rb_tree_impl()
  0.00      0.01     0.00     1764     0.00     0.00  std::set<void*, std::less<void*>, std::allocator<void*> >::~set()
  0.00      0.01     0.00     1763     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::~_Rb_tree()
  0.00      0.01     0.00     1758     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::_M_initialize()
  0.00      0.01     0.00     1746     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_end()
  0.00      0.01     0.00     1654     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.01     0.00     1649     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.01     0.00     1605     0.00     0.00  std::_Rb_tree_iterator<void*>::_Rb_tree_iterator(std::_Rb_tree_node<void*>*)
  0.00      0.01     0.00     1601     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, int> >::operator!=(std::_Rb_tree_iterator<std::pair<unsigned long const, int> > const&) const
  0.00      0.01     0.00     1576     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_end()
  0.00      0.01     0.00     1463     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_begin()
  0.00      0.01     0.00     1443     0.00     0.00  std::vector<void*, std::allocator<void*> >::operator[](unsigned int)
  0.00      0.01     0.00     1407     0.00     0.00  std::ceil(float)
  0.00      0.01     0.00     1351     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, false>::~_Rb_tree_impl()
  0.00      0.01     0.00     1349     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::~_Rb_tree()
  0.00      0.01     0.00     1344     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::~new_allocator()
  0.00      0.01     0.00     1344     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::~set()
  0.00      0.01     0.00     1344     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      0.01     0.00     1343     0.00     0.00  std::allocator<std::_Rb_tree_node<int> >::~allocator()
  0.00      0.01     0.00     1341     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00     1341     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase(std::_Rb_tree_node<int>*)
  0.00      0.01     0.00     1338     0.00     0.00  std::vector<void*, std::allocator<void*> >::~vector()
  0.00      0.01     0.00     1334     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::~_Vector_base()
  0.00      0.01     0.00     1332     0.00     0.00  _data_access_log::~_data_access_log()
  0.00      0.01     0.00     1332     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_root() const
  0.00      0.01     0.00     1330     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::_Rb_tree_impl(std::less<void*> const&, std::allocator<std::_Rb_tree_node<void*> > const&)
  0.00      0.01     0.00     1328     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<void*> >::new_allocator(__gnu_cxx::new_allocator<std::_Rb_tree_node<void*> > const&)
  0.00      0.01     0.00     1328     0.00     0.00  std::set<void*, std::less<void*>, std::allocator<void*> >::set(std::set<void*, std::less<void*>, std::allocator<void*> > const&)
  0.00      0.01     0.00     1328     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree(std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> > const&)
  0.00      0.01     0.00     1327     0.00     0.00  std::allocator<std::_Rb_tree_node<void*> >::allocator(std::allocator<std::_Rb_tree_node<void*> > const&)
  0.00      0.01     0.00     1296     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, false>::_M_initialize()
  0.00      0.01     0.00     1260     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_key(std::_Rb_tree_node_base const*)
