Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  my_difftime(timeval*, timeval*)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void* (*)(void*)>::deallocate(void* (**)(void*), unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void* (*)(void*)>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void* (*)(void*)>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void* (*)(void*)>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void*>::deallocate(void**, unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void*>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void*>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<void*>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >::difference_type __gnu_cxx::operator-<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >(__gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > > const&, __gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > > const&)
